genhits,HATZFS,HWVoteRank,IDME,imaxdriver,NIBNA,Pagerank,RDDriver,LPDriver
RP11-644L4.1,hsa-miR-424-3p,RP11-412H8.2,KLRC4,PZP,C1orf226,CREB5,MMP7,C14orf180
RP11-403A21.1,hsa-miR-342-5p,APOH,UBE2QL1,OLR1,AANAT,AC145110.1,FGD2,PDE7A
NKX2-8,SLC8A2,hsa-miR-184,MAP7D2,OR2L13,MMP25,CABP7,C22orf42,VSIG1
RP11-326C3.14,KIAA1324,RP11-863H1.1,CACNG3,KRT12,LGALS9B,P2RY12,ALOX5AP,BTN1A1
SLC6A19,hsa-miR-891b,CYP24A1,LRRC9,CCR6,WDR87,ACP5,PSG1,SLC6A3
PARVG,hsa-miR-1228-5p,HTR1D,ZAP70,RASGRP2,PPBP,ASB4,GPR1,RETN
C6orf223,CR1L,hsa-miR-95-3p,MMP10,KLRK1,CYP2F1,ZNF695,AKR1C1,SYT10
CTD-2369P2.8,KCNJ6,RP11-415C15.2,TFEC,PGLYRP4,TUBB2B,NOX5,PDCD1,SP8
AC091801.1,CACNG6,hsa-miR-3690,TMEM38A,VPREB3,CR1L,GC,ALG1L,FAM19A4
DEFA6,P2RY12,CES3,KIAA0922,BTLA,ITGB2,hsa-miR-1537-5p,CDHR4,PRR35
RP5-1091N2.9,MS4A7,LINC00111,ATP2B2,KIR3DX1,LPHN3,ALOX5AP,SLC28A2,RP11-442O1.4
